signal,rebal,scheme,minvol,timing,win,sharpe,ann,vol,maxdd,turnover,sh_h1,sh_h2,n,market
funding,W,rank,50000000.0,fund63,7.0,0.8722604832807213,0.20993271315843548,0.24067662949586174,-0.6168033263837582,56.90400111476139,0.06021104106933937,1.5665641241306172,1704,
beta+idvol,M,q20,20000000.0,none,0.5,0.8714940419571453,0.3183195707228842,0.3652573114648295,-0.5365369436599838,17.28702006713805,0.35244071324597187,1.484729354910147,2007,
beta+idvol,M,rank,20000000.0,fund63,0.5,0.865516335910019,0.19817216049963196,0.22896409030948017,-0.35388389741141935,12.433475649744706,0.5443400982273711,1.1443203967756108,1704,
beta+idvol,M,rank,5000000.0,fund63,0.5,0.8638147008061126,0.1705481672454089,0.19743605554090848,-0.26622089047601255,9.123995773656118,0.41340663923127124,1.2507581727016153,1704,
beta+funding,M,q20,20000000.0,none,0.25,0.861975348779266,0.3229523634293798,0.3746654285261714,-0.5653121447921932,20.873531413183944,0.6026198518945923,1.1400098677761024,2007,
beta+idvol,M,q20,50000000.0,fund63,0.75,0.859097652125481,0.31431883170226477,0.3658709006183559,-0.5320489122708929,14.356499364134223,1.1713255676279881,0.5794325782355002,1704,
beta+idvol,M,rank,20000000.0,fund90,0.5,0.8579955228939824,0.1865894356674839,0.217471339521826,-0.3671915238573615,11.465162393985711,0.5735065686802252,1.1102993965639165,1673,
beta+idvol,W,q20,20000000.0,none,0.25,0.8569965887177324,0.39451924273084105,0.4603510071389364,-0.5843882486574977,28.212824250032554,0.774469672551236,1.030628617059291,2021,
beta_horizon,W,q20,20000000.0,fund63,1095.0,0.8540170138434467,0.25633789402795504,0.3001554885590902,-0.5016580613638488,20.00570127955272,0.21868803348484317,1.3629137695855555,1704,
beta+idvol,W,rank,50000000.0,fund90,0.75,0.8539505576328456,0.23700748512251288,0.2775423975124492,-0.29183757289073853,16.286019344565876,0.6611196143969732,1.024548956651289,1673,
beta+idvol,M,rank,5000000.0,fund90,0.75,0.8498969629190585,0.1609006503920954,0.18931783193984547,-0.3028672240525393,8.204389280586799,0.9856801269061598,0.7444432291569479,1673,
beta+funding,M,rank,50000000.0,fund90,0.25,0.8451485389879381,0.22230242859019533,0.2630335595875271,-0.3479899117367625,13.075766461068735,-0.05460719410140916,1.6115774997582442,1673,
beta+funding,W,rank,5000000.0,fund63,0.75,0.8440305277160265,0.14723980059889993,0.1744484301975848,-0.33647636714043244,30.17973726554495,-0.044680366296842126,1.529372929099931,1704,
beta+idvol,W,q20,50000000.0,none,0.25,0.8423740013465936,0.36635242264445483,0.4349047122285527,-0.39406159137103036,32.91611705533769,0.45697144044509685,1.2582713142964805,2021,
beta+idvol,W,rank,50000000.0,disp63,0.75,0.8418289279699516,0.3857234808831721,0.45819698999098796,-0.5846087604774728,28.664173298168834,0.7513827809619328,0.9560181353871481,1734,
beta+idvol,M,rank,20000000.0,fund63,0.75,0.8408919005458382,0.19817440680619225,0.2356716798884061,-0.3542659891979253,12.451791181274379,0.7137748167793068,0.9518744919720219,1704,
beta+idvol,M,rank,20000000.0,fund90,0.75,0.8400602975201719,0.18895240252874557,0.2249271904487408,-0.36708255498169007,11.514049474786024,0.8145799347615958,0.8685185424981543,1673,
beta+funding,M,rank,50000000.0,fund90,0.5,0.8383292467965713,0.20969350417588553,0.25013263580767053,-0.26380965539842444,15.346835054955699,0.041409717729226296,1.4655859040037047,1673,
beta+idvol,W,q20,50000000.0,none,0.75,0.8378069606747645,0.3801726739583653,0.45377120482763306,-0.8311114107396443,31.763552002485767,0.45084698093020925,1.3222482797680777,2021,
beta+idvol,M,q20,50000000.0,disp63,0.75,0.8376574565868555,0.49334011131197647,0.5889520918516681,-0.8957626163783075,24.824468287368912,1.107322780995636,0.514584383997743,1734,
beta+funding,W,q20,20000000.0,fund90,0.25,0.8374150835890629,0.2456746901109377,0.2933726594199913,-0.5461306132390675,25.725654707498578,-0.48368557163014464,1.8545336536128738,1673,
beta+idvol,W,rank,20000000.0,fund90,0.5,0.8373995535144731,0.1909957194622596,0.22808194566222503,-0.37934115485310727,16.024448020433717,0.32231175362336095,1.2824918023444885,1673,
beta+funding,M,rank,50000000.0,none,0.75,0.8330449282107746,0.24376507035848136,0.2926193559356316,-0.4026242583570866,27.509712541919292,1.1118454066002428,0.518637010916067,2007,
beta+funding,M,q20,20000000.0,fund90,0.5,0.8325945677546469,0.23384295988793263,0.28086053998474153,-0.2852793331223147,18.19684723219641,0.40950526043380137,1.169105607720474,1673,
beta+idvol,M,rank,20000000.0,none,0.75,0.8325230171777218,0.24092039713261537,0.28938586941336797,-0.5360574200971044,15.050092000258141,0.3106620678025823,1.4370216071266446,2007,
beta+idvol,M,q20,50000000.0,fund90,0.75,0.8322720246858427,0.2930348440649915,0.35209022455801414,-0.4909554243806069,13.497615172421238,1.224179619176487,0.4811499422071341,1673,
