signal,market,corr_win,vol_win,agg,shrink,rebal,scheme,minvol,timing,sharpe,ann,vol,maxdd,turnover,sh_h1,sh_h2,n
beta,eqw_top25,730,180,3.0,0.4,M,q20,20000000.0,fund63,1.1891629960738037,0.4186667313501009,0.35206841512256143,-0.36514668474486395,15.377802566264295,0.8360284573888638,1.4838781358984376,1704
beta,advw_top100,730,180,3.0,0.6,M,q20,20000000.0,fund63,1.1887688467178494,0.3678452602891851,0.30943379892970224,-0.27431205538810666,14.059429889105175,0.9199477868571307,1.4210252203188836,1704
beta,eqw_top100,730,180,3.0,0.4,M,q20,50000000.0,none,1.1859687092041011,0.6197546802424125,0.5225725395894528,-0.6004659681758255,21.937095497444133,1.0644469529686278,1.3342732407910265,2007
beta,eqw_top25,730,180,3.0,0.8,W,q20,50000000.0,none,1.1852393406353636,0.6310564326815038,0.5324295364202284,-0.6336905709781089,35.83659572663007,0.8985887574581782,1.5201974802843805,2021
beta,eqw,730,180,3.0,1.0,M,q20,20000000.0,none,1.1846134750285482,0.593801367966062,0.5012617030645812,-0.6455103459444618,19.63457738039836,1.3140157215613868,1.0398637308696963,2007
beta,sqrt_advw,730,180,3.0,0.8,M,q20,20000000.0,fund90,1.1793746238711733,0.3827543643450927,0.3245401050674989,-0.35923145959885827,13.493475727983418,1.1421111153934231,1.214865632774745,1673
beta,eqw_top100,365,180,3.0,0.4,M,q20,50000000.0,none,1.1761185111193666,0.608287679673036,0.5171993076565901,-0.4620706508858716,22.87300172219636,1.0272389320379403,1.3217269140496077,2007
beta,btceth,730,180,3.0,0.6,M,q20,20000000.0,fund63,1.1755206275387362,0.3506897576114749,0.2983271832036983,-0.2897527767894812,14.141006077195739,0.6918036892983175,1.5804350059863115,1704
beta,eqw_top100,365,180,3.0,0.6,M,q20,50000000.0,fund63,1.1746680340718707,0.5117378393554548,0.43564464556132176,-0.4852552066653799,16.825118472751353,0.7780561616943916,1.512480424925766,1704
beta,sqrt_advw,365,180,3.0,0.4,M,q20,50000000.0,none,1.1728279991350834,0.5805562562843705,0.49500545409259405,-0.461886333421186,22.1718745274843,1.0738524472205306,1.2685775999881483,2007
beta,eqw,730,180,3.0,0.6,W,q20,50000000.0,fund63,1.1720119561898905,0.44253407789890736,0.37758495172485035,-0.35361308551182913,24.66147952403979,0.5779178195624839,1.7105167226034572,1704
beta,eqw_top25,730,180,3.0,0.8,M,q20,20000000.0,fund90,1.1705188720411308,0.4206073672249297,0.35933411863021203,-0.40349001899866155,15.16894731034335,0.9841974743569681,1.350663312556494,1673
beta,btceth,730,180,3.0,0.4,M,q20,5000000.0,fund63,1.1704769525669205,0.30867452604501305,0.2637168765844323,-0.3017156481252792,11.26713349609459,0.3483745584984551,1.7965860804304474,1704
beta,advw,730,180,3.0,0.8,M,q20,20000000.0,fund90,1.1704111505145263,0.3580782295097527,0.30594225743008113,-0.27957595497822685,13.114309972593134,0.949937581193376,1.3754631797569863,1673
beta,advw_top100,730,180,3.0,0.4,M,q20,20000000.0,none,1.1692997809283816,0.46119654595577175,0.3944211343216009,-0.6287823433250854,18.592733594548786,0.8909122367719396,1.4738856494570676,2007
beta,eqw_top25,730,180,3.0,0.8,M,q20,20000000.0,fund63,1.1681369443459493,0.44132658082022125,0.3778038037032756,-0.4109410175780924,16.442908320351552,1.117037886470334,1.2166531230120414,1704
beta,advw_top100,730,180,3.0,0.6,M,rank,5000000.0,fund90,1.1662476122853112,0.22010967656372582,0.18873322804272383,-0.26198748226054946,8.387426343211278,0.5823534503675448,1.689608290157676,1673
beta,eqw_top100,730,180,3.0,1.0,M,q20,20000000.0,none,1.1657205626578986,0.6332451788073938,0.5432221057879981,-0.8634175657957466,21.050104891121833,1.0976622972169094,1.2642090374366362,2007
beta,btceth,730,180,3.0,0.8,M,q20,20000000.0,none,1.1637494134334347,0.4835730306368127,0.4155302035428029,-0.714642419709669,18.154582202862155,0.9824898796071513,1.4504371843564174,2007
